Data;Dolar_Venda
2022-01-03;5,6309
2022-01-04;5,6776
2022-01-05;5,6628
2022-01-06;5,7042
2022-01-07;5,6753
2022-01-10;5,6736
2022-01-11;5,6351
2022-01-12;5,5611
2022-01-13;5,5246
2022-01-14;5,5349
2022-01-17;5,5058
2022-01-18;5,5213
2022-01-19;5,4978
2022-01-20;5,4166
2022-01-21;5,4401
2022-01-24;5,491
2022-01-25;5,4971
2022-01-26;5,4324
2022-01-27;5,3812
2022-01-28;5,3954
2022-01-31;5,3574
2022-02-01;5,281
2022-02-02;5,2956
2022-02-03;5,3025
2022-02-04;5,3284
2022-02-07;5,2913
2022-02-08;5,2699
2022-02-09;5,2735
2022-02-10;5,2101
2022-02-11;5,1987
2022-02-14;5,2106
2022-02-15;5,1881
2022-02-16;5,163
2022-02-17;5,1565
2022-02-18;5,1339
2022-02-21;5,0997
2022-02-22;5,0611
2022-02-23;5,0143
2022-02-24;5,1174
2022-02-25;5,1394
2022-03-02;5,1347
2022-03-03;5,0479
2022-03-04;5,0758
2022-03-07;5,0579
2022-03-08;5,0903
2022-03-09;5,0094
2022-03-10;5,0513
2022-03-11;5,0255
2022-03-14;5,0647
2022-03-15;5,1314
2022-03-16;5,1287
2022-03-17;5,0764
2022-03-18;5,0411
2022-03-21;4,9666
2022-03-22;4,9208
2022-03-23;4,8704
2022-03-24;4,8067
2022-03-25;4,7782
2022-03-28;4,7905
2022-03-29;4,7486
2022-03-30;4,7497
2022-03-31;4,7378
2022-04-01;4,6984
2022-04-04;4,6175
2022-04-05;4,64
2022-04-06;4,6967
2022-04-07;4,7422
2022-04-08;4,7513
2022-04-11;4,7025
2022-04-12;4,6483
2022-04-13;4,6811
2022-04-14;4,7158
2022-04-18;4,6746
2022-04-19;4,6664
2022-04-20;4,6397
2022-04-22;4,7326
2022-04-25;4,8818
2022-04-26;4,9666
2022-04-27;5,0167
2022-04-28;5,011
2022-04-29;4,9191
2022-05-02;5,0266
2022-05-03;5,0167
2022-05-04;5,0093
2022-05-05;5,0051
2022-05-06;5,075
2022-05-09;5,134
2022-05-10;5,139
2022-05-11;5,1244
2022-05-12;5,1482
2022-05-13;5,1075
2022-05-16;5,0666
2022-05-17;4,9676
2022-05-18;4,9592
2022-05-19;4,9198
2022-05-20;4,8777
2022-05-23;4,7973
2022-05-24;4,8106
2022-05-25;4,8359
2022-05-26;4,7967
2022-05-27;4,7434
2022-05-30;4,7216
2022-05-31;4,7289
2022-06-01;4,7765
2022-06-02;4,7879
2022-06-03;4,7956
2022-06-06;4,7839
2022-06-07;4,8909
2022-06-08;4,8711
2022-06-09;4,8951
2022-06-10;4,9836
2022-06-13;5,1033
2022-06-14;5,1203
2022-06-15;5,1119
2022-06-17;5,1313
2022-06-20;5,1641
2022-06-21;5,1462
2022-06-22;5,1509
2022-06-23;5,1833
2022-06-24;5,2334
2022-06-27;5,2214
2022-06-28;5,2179
2022-06-29;5,2268
2022-06-30;5,238
2022-07-01;5,3142
2022-07-04;5,3038
2022-07-05;5,3899
2022-07-06;5,4321
2022-07-07;5,364
2022-07-08;5,3086
2022-07-11;5,3477
2022-07-12;5,412
2022-07-13;5,3992
2022-07-14;5,4568
2022-07-15;5,4014
2022-07-18;5,3675
2022-07-19;5,3904
2022-07-20;5,4288
2022-07-21;5,475
2022-07-22;5,4522
2022-07-25;5,4144
2022-07-26;5,3608
2022-07-27;5,3074
2022-07-28;5,2149
2022-07-29;5,1884
2022-08-01;5,1606
2022-08-02;5,2329
2022-08-03;5,2846
2022-08-04;5,2409
2022-08-05;5,2165
2022-08-08;5,1247
2022-08-09;5,1224
2022-08-10;5,0497
2022-08-11;5,1127
2022-08-12;5,1023
2022-08-15;5,0925
2022-08-16;5,134
2022-08-17;5,1784
2022-08-18;5,1773
2022-08-19;5,1961
2022-08-22;5,1709
2022-08-23;5,103
2022-08-24;5,105
2022-08-25;5,1173
2022-08-26;5,0903
2022-08-29;5,0428
2022-08-30;5,0617
2022-08-31;5,179
2022-09-01;5,2007
2022-09-02;5,1878
2022-09-05;5,1686
2022-09-06;5,2228
2022-09-08;5,2155
2022-09-09;5,1633
2022-09-12;5,1183
2022-09-13;5,1794
2022-09-14;5,1774
2022-09-15;5,2211
2022-09-16;5,2882
2022-09-19;5,2367
2022-09-20;5,1705
2022-09-21;5,1692
2022-09-22;5,1677
2022-09-23;5,2257
2022-09-26;5,3548
2022-09-27;5,3508
2022-09-28;5,3594
2022-09-29;5,3916
2022-09-30;5,4066
2022-10-03;5,2002
2022-10-04;5,1411
2022-10-05;5,2144
2022-10-06;5,2009
2022-10-07;5,2221
2022-10-10;5,1941
2022-10-11;5,2068
2022-10-13;5,3017
2022-10-14;5,2824
2022-10-17;5,2713
2022-10-18;5,2697
2022-10-19;5,2808
2022-10-20;5,2176
2022-10-21;5,1919
